well,750
prince,1934
genoa,3
lucca,2
family,154
estate,96
buonapartes,1
warn,12
tell,865
mean,315
war,328
still,676
try,428
defend,36
infamy,1
horror,51
perpetrate,3
antichrist,5
believe,177
nothing,473
long,745
friend,254
faithful,12
slave,12
call,382
frighten,127
sit,638
news,171
july,13
speaker,18
know,1578
anna,293
pávlovna,152
schérer,7
maid,87
honor,190
favorite,38
empress,27
márya,114
fëdorovna,16
word,634
greet,50
vasíli,243
kurágin,66
man,1191
high,240
rank,108
importance,47
first,631
arrive,134
reception,56
cough,23
day,761
suffer,152
la,43
grippe,2
st,41
petersburg,245
use,220
elite,1
invitation,18
exception,21
write,275
french,881
deliver,23
scarlet,4
liveried,3
footman,77
morning,218
run,473
follow,265
good,673
count,1232
prospect,6
spend,125
even,732
poor,83
invalid,13
terrible,157
shall,247
charm,85
tonight,14
annette,12
heaven,65
virulent,2
attack,168
reply,490
least,85
disconcert,15
enter,353
wear,168
embroider,10
court,80
uniform,131
knee,66
breech,20
shoe,31
star,57
breast,43
serene,38
expression,312
flat,39
face,1111
speak,600
refine,11
grandfather,8
think,1266
gentle,42
patronize,4
intonation,10
natural,42
grow,310
old,851
society,140
go,887
kiss,203
hand,873
present,226
bald,80
scent,16
shin,25
head,626
complacently,4
seat,83
sofa,74
dear,403
set,188
mind,262
rest,148
alter,31
tone,174
beneath,21
politeness,16
affect,28
sympathy,37
indifference,19
irony,21
could,1115
discern,9
morally,7
calm,98
time,1084
feel,547
stay,121
whole,532
hope,90
fete,12
english,30
ambassador,19
today,90
wednesday,8
must,472
put,325
appearance,40
daughter,170
take,1220
cancel,1
confess,23
festivity,3
firework,4
become,339
wearisome,3
wish,473
entertainment,5
wind,84
clock,78
force,253
habit,56
thing,460
tease,4
decide,129
novosíltsev,5
dispatch,33
everything,417
cold,139
listless,8
buonaparte,30
burn,142
boat,9
ready,165
languidly,4
actor,7
repeat,213
stale,1
part,277
contrary,125
despite,83
forty,46
year,229
overflow,14
animation,29
impulsiveness,1
enthusiast,1
social,25
vocation,7
sometimes,133
enthusiastic,10
order,615
disappoint,7
expectation,23
subdue,5
smile,727
though,456
suit,26
fade,6
feature,25
play,153
round,439
lip,139
express,213
